rank,candidate_id,formula,surface,facet,site,pred_dg_h,case_dir,structure_source,surface_formula_used_for_prototype,clean_atoms,h_ads_atoms
1,"C8Ga9|MoB2-Ru-B01|001|{""H"": ""site3""}",C8Ga9,MoB2-Ru-B01,001,site3,0.0084440922141618,dft_runs_mp/rank_01_C8Ga9_MoB2-Ru-B01,materials_project_structures/rank_01/POSCAR,MoB2Ru,96,97
2,"BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",BPdZn2,MoB2-Fe-B01,001,site5,0.0206674796300456,dft_runs_mp/rank_02_BPdZn2_MoB2-Fe-B01,materials_project_structures/rank_02/POSCAR,MoB2Fe,96,97
3,"Pb10Pt11|HgIn|101|{""H"": ""top-tilt|B""}",Pb10Pt11,HgIn,101,top-tilt|B,0.0589336830553726,dft_runs_mp/rank_03_Pb10Pt11_HgIn,materials_project_structures/rank_03/POSCAR,HgIn,32,33
4,"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,111,hollow|A_A_B|HCP,-0.0600859044870559,dft_runs_mp/rank_04_B10Zn7_Au3Ru,materials_project_structures/rank_04/POSCAR,Au3Ru,128,129
5,"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,111,hollow|A_A_A|FCC,-0.0803832050368834,dft_runs_mp/rank_05_B5Mo2_In3Zn,materials_project_structures/rank_05/POSCAR,In3Zn,112,113
6,"BInMoSn|Re3Ta|111|{""H"": ""hollow|A_A_A|FCC""}",BInMoSn,Re3Ta,111,hollow|A_A_A|FCC,-0.0925693940658854,dft_runs_mp/rank_06_BInMoSn_Re3Ta,materials_project_structures/rank_06/POSCAR,Re3Ta,48,49
7,"B17Mo7|MoB2-Nb-B00|001|{""H"": ""site4""}",B17Mo7,MoB2-Nb-B00,001,site4,-0.0977526068609765,dft_runs_mp/rank_07_B17Mo7_MoB2-Nb-B00,materials_project_structures/rank_07/POSCAR,MoB2Nb,96,97
8,"B6Ga|NbV|101|{""H"": ""hollow|A_B_B|HCP""}",B6Ga,NbV,101,hollow|A_B_B|HCP,-0.0985367971590851,dft_runs_mp/rank_08_B6Ga_NbV,materials_project_structures/rank_08/POSCAR,NbV,40,41
9,"BCoReZn|PtSn|101|{""H"": ""top|A""}",BCoReZn,PtSn,101,top|A,0.098723174277221,dft_runs_mp/rank_09_BCoReZn_PtSn,materials_project_structures/rank_09/POSCAR,PtSn,64,65
10,"B9C5Cr4H3|CuGa|101|{""H"": ""bridge|A_A|B""}",B9C5Cr4H3,CuGa,101,bridge|A_A|B,-0.1065433768817292,dft_runs_mp/rank_10_B9C5Cr4H3_CuGa,materials_project_structures/rank_10/POSCAR,CuGa,48,49
