feature,importance
matminer_MagpieData maximum CovalentRadius,0.54410905
matminer_MagpieData avg_dev AtomicWeight,0.1337951
matminer_MagpieData minimum MendeleevNumber,0.06664439
matminer_MagpieData range NValence,0.04538953
Z_std,0.024504356
matminer_MagpieData mean MendeleevNumber,0.019731756
matminer_MagpieData maximum NUnfilled,0.016542658
matminer_MagpieData avg_dev Column,0.01394682
matminer_MagpieData maximum GSvolume_pa,0.012709299
matminer_MagpieData avg_dev CovalentRadius,0.012277373
radius_std,0.00966559
matminer_MagpieData maximum AtomicWeight,0.008783918
matminer_MagpieData avg_dev SpaceGroupNumber,0.008783193
matminer_MagpieData avg_dev MendeleevNumber,0.008563933
matminer_MagpieData maximum NValence,0.0078903735
radius_mean,0.007867143
radius_max,0.0077346903
matminer_MagpieData mean CovalentRadius,0.0074968017
matminer_MagpieData range CovalentRadius,0.00637213
matminer_MagpieData range MendeleevNumber,0.006291753
group_std,0.0057641687
group_mean,0.005200804
matminer_MagpieData mean AtomicWeight,0.004390714
matminer_MagpieData mean SpaceGroupNumber,0.0043354034
matminer_MagpieData mean MeltingT,0.0039808657
matminer_MagpieData minimum SpaceGroupNumber,0.0031718577
matminer_MagpieData range SpaceGroupNumber,0.002103348
matminer_MagpieData avg_dev MeltingT,0.0019530363
matminer_MagpieData range GSvolume_pa,0.0
matminer_MagpieData mode CovalentRadius,0.0
matminer_MagpieData minimum AtomicWeight,0.0
matminer_MagpieData maximum SpaceGroupNumber,0.0
Z_max,0.0
matminer_MagpieData maximum Number,0.0
matminer_MagpieData range Number,0.0
total_atoms,0.0
matminer_MagpieData minimum CovalentRadius,0.0
matminer_MagpieData range AtomicWeight,0.0
matminer_MagpieData range MeltingT,0.0
matminer_MagpieData minimum MeltingT,0.0
matminer_MagpieData mode MeltingT,0.0
matminer_MagpieData maximum NfValence,0.0
matminer_MagpieData maximum MendeleevNumber,0.0
matminer_MagpieData range NfValence,0.0
d_max,0.0
matminer_MagpieData range NdValence,0.0
matminer_MagpieData range NdUnfilled,0.0
matminer_MagpieData maximum NdValence,0.0
matminer_MagpieData maximum NdUnfilled,0.0
group_min,0.0
radius_min,0.0
matminer_MagpieData minimum Column,0.0
matminer_MagpieData range Column,0.0
Z_min,0.0
matminer_MagpieData minimum Number,0.0
matminer_MagpieData range NUnfilled,0.0
matminer_MagpieData mean Column,0.0
valence_max,0.0
matminer_MagpieData mode Column,0.0
valence_min,0.0
