candidate_id,formula,surface,facet,source,fallback_used,dG_H,pred_dG_H,her_activity_proxy,screen_score
Ag9Ru3|Ag3Ru|111,Ag9Ru3,Ag3Ru,111,Catalysis-Hub,False,0.08617219404280266,-0.0053423027913541,-0.0053423027913541,0.0053423027913541
Co6Zn6|CoZn|101,Co6Zn6,CoZn,101,Catalysis-Hub,False,0.12455235441153906,0.006034946414165801,-0.006034946414165801,0.006034946414165801
Cu9Rh3|Cu3Rh|111,Cu9Rh3,Cu3Rh,111,Catalysis-Hub,False,-0.09690654078528384,0.0099143596561573,-0.0099143596561573,0.0099143596561573
Ir3Zn9|Zn3Ir|111,Ir3Zn9,Zn3Ir,111,Catalysis-Hub,False,-0.3938884549561123,0.0253632523610459,-0.0253632523610459,0.0253632523610459
Fe6Sn6|FeSn|101,Fe6Sn6,FeSn,101,Catalysis-Hub,False,0.0890527912424943,-0.0300931750481577,-0.0300931750481577,0.0300931750481577
Bi3Pt9|Pt3Bi|111,Bi3Pt9,Pt3Bi,111,Catalysis-Hub,False,-0.1363411422562137,-0.0350654209823286,-0.0350654209823286,0.0350654209823286
FeMo26B54|MoB2-Fe-B00|001,FeMo26B54,MoB2-Fe-B00,1,Catalysis-Hub,False,-0.060628720333405293,-0.0601874408232314,-0.0601874408232314,0.0601874408232314
Rh9Sn3|Rh3Sn|111,Rh9Sn3,Rh3Sn,111,Catalysis-Hub,False,-0.3567759370589272,-0.0620037066238363,-0.0620037066238363,0.0620037066238363
Cu9Pd3|Cu3Pd|111,Cu9Pd3,Cu3Pd,111,Catalysis-Hub,False,0.03440280836824173,0.0749528448077894,-0.0749528448077894,0.0749528448077894
CrMo26B54|MoB2-Cr-B00|001,CrMo26B54,MoB2-Cr-B00,1,Catalysis-Hub,False,-0.08934262916672725,-0.0854065822624646,-0.0854065822624646,0.0854065822624646
Au9Ti3|Au3Ti|111,Au9Ti3,Au3Ti,111,Catalysis-Hub,False,0.4021065650422599,-0.0865726092625042,-0.0865726092625042,0.0865726092625042
Ga6W6|GaW|101,Ga6W6,GaW,101,Catalysis-Hub,False,-0.2682883802936544,-0.0886270922622564,-0.0886270922622564,0.0886270922622564
Cd6Pt6|CdPt|101,Cd6Pt6,CdPt,101,Catalysis-Hub,False,-0.2393981360573605,0.0910658071935037,-0.0910658071935037,0.0910658071935037
Ir9Rh3|Ir3Rh|111,Ir9Rh3,Ir3Rh,111,Catalysis-Hub,False,0.1563385161025507,0.0991466670578151,-0.0991466670578151,0.0991466670578151
In3Pd9|Pd3In|111,In3Pd9,Pd3In,111,Catalysis-Hub,False,-0.2625199209569189,0.1001921972505478,-0.1001921972505478,0.1001921972505478
FeMo26B55|MoB2-Fe-B01|001,FeMo26B55,MoB2-Fe-B01,1,Catalysis-Hub,False,0.1336788792856234,0.1194709605735017,-0.1194709605735017,0.1194709605735017
Os9Ru3|Os3Ru|111,Os9Ru3,Os3Ru,111,Catalysis-Hub,False,-0.11540919339749962,-0.11997930405651888,-0.11997930405651888,0.11997930405651888
Ir9Pt3|Ir3Pt|111,Ir9Pt3,Ir3Pt,111,Catalysis-Hub,False,-0.2397498432573854,0.1240738358711364,-0.1240738358711364,0.1240738358711364
Mo3Pd9|Pd3Mo|111,Mo3Pd9,Pd3Mo,111,Catalysis-Hub,False,-0.17270670775994285,-0.1245464514362067,-0.1245464514362067,0.1245464514362067
In6Mo6|InMo|101,In6Mo6,InMo,101,Catalysis-Hub,False,0.23451348859182988,-0.1304518185016759,-0.1304518185016759,0.1304518185016759
Cu6Fe6|CuFe|101,Cu6Fe6,CuFe,101,Catalysis-Hub,False,0.048738962938364196,0.1340077538558587,-0.1340077538558587,0.1340077538558587
Ag9Rh3|Ag3Rh|111,Ag9Rh3,Ag3Rh,111,Catalysis-Hub,False,-0.1380945077534932,-0.1511390169209851,-0.1511390169209851,0.1511390169209851
Mo3Zn9|Zn3Mo|111,Mo3Zn9,Zn3Mo,111,Catalysis-Hub,False,0.2767101134932375,-0.1523763777753648,-0.1523763777753648,0.1523763777753648
Cr6Ga6|CrGa|101,Cr6Ga6,CrGa,101,Catalysis-Hub,False,0.0552395992617676,0.1571898671856869,-0.1571898671856869,0.1571898671856869
Al6Mn6|AlMn|101,Al6Mn6,AlMn,101,Catalysis-Hub,False,0.09576470574123165,0.1759986905848203,-0.1759986905848203,0.1759986905848203
