rank,candidate_id,formula,surface,facet,base_formula,dopant_from_label,exact_formula_hits,base_formula_hits,doped_chemsys_hits,selected_match_type,exact_query_error,base_query_error,doped_query_error,bulk_poscar_path,slab_poscar_path,slab_generation_note,error,selected_mp_id,selected_mp_formula,selected_chemsys,selected_spacegroup_symbol,selected_spacegroup_number,selected_energy_above_hull_eV_atom,selected_is_stable,selected_formation_energy_per_atom,selected_band_gap
1,"C8Ga9|MoB2-Ru-B01|001|{""H"": ""site3""}",C8Ga9,MoB2-Ru-B01,1,MoB2,Ru,0,2,4,surface_base_formula,skipped: generated doped label is not an MP formula,,,/home/musineko/ML_project_screening/materials_project_structures/rank_01/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_01/POSCAR,substituted top-layer Mo site index 90 with Ru,,mp-2331,B2Mo,B-Mo,R-3m,166.0,0.0,True,-0.448641116666668,0.0
2,"BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",BPdZn2,MoB2-Fe-B01,1,MoB2,Fe,0,2,4,surface_base_formula,skipped: generated doped label is not an MP formula,,,/home/musineko/ML_project_screening/materials_project_structures/rank_02/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_02/POSCAR,substituted top-layer Mo site index 90 with Fe,,mp-2331,B2Mo,B-Mo,R-3m,166.0,0.0,True,-0.448641116666668,0.0
3,"Pb10Pt11|HgIn|101|{""H"": ""top-tilt|B""}",Pb10Pt11,HgIn,101,HgIn,,1,1,0,surface_exact_formula,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_03/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_03/POSCAR,,,mp-20132,InHg,Hg-In,R-3m,166.0,0.0,True,-0.010396108750001,0.0
4,"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,111,Au3Ru,,2,2,0,surface_exact_formula,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_04/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_04/POSCAR,,,mp-974364,RuAu3,Au-Ru,I4/mmm,139.0,0.365786297500001,False,0.365786297500001,0.0
5,"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,111,In3Zn,,3,3,0,surface_exact_formula,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_05/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_05/POSCAR,,,mp-971832,ZnIn3,In-Zn,I4/mmm,139.0,0.091540632500002,False,0.091540632500002,0.0
6,"BInMoSn|Re3Ta|111|{""H"": ""hollow|A_A_A|FCC""}",BInMoSn,Re3Ta,111,Re3Ta,,0,0,0,same_chemsys_lowest_hull_fallback,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_06/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_06/POSCAR,fallback: exact formula absent; used lowest-hull same chemsys bulk,,mp-1187203,Ta3Re,Re-Ta,Fm-3m,225.0,0.023771365999998,False,-0.24718471362500302,0.0
7,"B17Mo7|MoB2-Nb-B00|001|{""H"": ""site4""}",B17Mo7,MoB2-Nb-B00,1,MoB2,Nb,0,2,4,surface_base_formula,skipped: generated doped label is not an MP formula,,,/home/musineko/ML_project_screening/materials_project_structures/rank_07/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_07/POSCAR,substituted top-layer Mo site index 90 with Nb,,mp-2331,B2Mo,B-Mo,R-3m,166.0,0.0,True,-0.448641116666668,0.0
8,"B6Ga|NbV|101|{""H"": ""hollow|A_B_B|HCP""}",B6Ga,NbV,101,NbV,,1,1,0,surface_exact_formula,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_08/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_08/POSCAR,,,mp-1220334,NbV,Nb-V,Cmmm,65.0,0.090806094999997,False,0.090806094999997,0.0
9,"BCoReZn|PtSn|101|{""H"": ""top|A""}",BCoReZn,PtSn,101,PtSn,,1,1,0,surface_exact_formula,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_09/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_09/POSCAR,,,mp-19856,SnPt,Pt-Sn,P6_3/mmc,194.0,0.0,True,-0.6177887774999961,0.0
10,"B9C5Cr4H3|CuGa|101|{""H"": ""bridge|A_A|B""}",B9C5Cr4H3,CuGa,101,CuGa,,0,0,0,same_chemsys_lowest_hull_fallback,,,,/home/musineko/ML_project_screening/materials_project_structures/rank_10/BULK_POSCAR,/home/musineko/ML_project_screening/materials_project_structures/rank_10/POSCAR,fallback: exact formula absent; used lowest-hull same chemsys bulk,,mp-11359,Ga2Cu,Cu-Ga,P4/mmm,123.0,0.0,True,-0.080186346666666,0.0
